"","id","titulo","descricao","publicadoEm","data","hora","aoVivo","idCanal","nomeCanal","visualizacoes","curtidas","descurtidas","favoritos","comentarios","categoryId","defaultAudioLanguage","categoria","faturamento"
"16","uelHwf8o7_U","Eminem - Love The Way You Lie ft. Rihanna","Music video by Eminem performing Love The Way You Lie. <U+00A9> 2010 Aftermath Records #VEVOCertified on September 13, 2011. http://www.vevo.com/certified ...",2010-08-05 19:09:46,2010-08-05,68940,"none","UC20vb-R_px4CguHzzBPhoyQ","EminemVEVO",1402046933,5233395,201082,0,487376,10,"en-US","Música",1402000
"17","j5-yKhDd64s","Eminem - Not Afraid","Music video by Eminem performing Not Afraid. (C) 2010 Aftermath Records #VEVOCertified on September 11, 2010.http://www.vevo.com/certified ...",2010-06-05 05:02:39,2010-06-05,18120,"none","UC20vb-R_px4CguHzzBPhoyQ","EminemVEVO",1016790790,5302782,156702,0,790263,10,"en-US","Música",1016000
"18","1wYNFfgrXTI","Eminem - When I'm Gone","Music video by Eminem performing When I'm Gone. (C) 2005 Aftermath Entertainment/Interscope Records.",2009-06-17 00:23:36,2009-06-17,1380,"none","UC20vb-R_px4CguHzzBPhoyQ","EminemVEVO",574215954,2848831,81384,0,225048,10,"en-US","Música",574000
"19","XbGs_qK2PQA","Eminem - Rap God (Explicit)","Download Eminem's 'MMLP2' Album on iTunes now:http://smarturl.it/MMLP2 Credits below Video Director: Rich Lee Video Producer: Justin Diener Video ...",2013-11-27 16:50:00,2013-11-27,60600,"none","UC20vb-R_px4CguHzzBPhoyQ","EminemVEVO",565975089,5655363,215825,0,497462,10,"en-US","Música",565000
"20","EHkozMIXZ8w","Eminem - The Monster (Explicit) ft. Rihanna","Download Eminem's 'MMLP2' Album on iTunes now:http://smarturl.it/MMLP2 Music video by Eminem ft. Rihanna ""The Monster"" <U+00A9> 2013 Interscope.",2013-12-17 00:50:00,2013-12-17,3000,"none","UC20vb-R_px4CguHzzBPhoyQ","EminemVEVO",535518823,2742520,95478,0,123306,10,"en-US","Música",535000
"21","2uJE48aKVNo","Beef 'n Go","WATCH THIS EPISODE EN ESPA<d1>OL: http://youtu.be/uUN_7ToagOI OUR FACEBOOK: http://facebook.com/smosh Are you the kind of person that just loves ...",2008-05-03 18:20:32,2008-05-03,66000,"none","UCY30JRSgfhYXA6i6xX1erWg","Smosh",102595655,113444,25416,0,24237,43,NA,"Shows",102000
"22","12PWq22E9CQ","ULTIMATE ASSASSIN'S CREED 3 SONG [Music Video]","AC4 MUSIC VIDEO: http://youtu.be/WpMt2vzrIxs WATCH BLOOPERS & MORE: http://bit.ly/AC3XTRAS GET THE REMIX! http://smo.sh./iTunesSweetSound ...",2012-10-26 19:16:59,2012-10-26,69360,"none","UCY30JRSgfhYXA6i6xX1erWg","Smosh",84946631,959281,29030,0,171788,43,"en","Shows",84000
"23","mO1QBTG6EXs","THE LEGEND OF ZELDA RAP [MUSIC VIDEO]","WATCH BLOOPERS & MORE: http://bit.ly/ZELDAxtras DOWNLOAD THE SONG ON ITUNES: http://smo.sh/13NrBp8 DOWNLOAD UNCENSORED SONG: ...",2011-11-18 21:15:54,2011-11-18,76500,"none","UCY30JRSgfhYXA6i6xX1erWg","Smosh",70811754,781736,18867,0,176398,43,"en","Shows",70000
"24","e1h5TzdTq0o","POKEMON IN REAL LIFE!","MORE POKEMON VIDEOS: https://youtu.be/4BO2HgT2p4M?list=PL2C924BB1F9863B0A BLOOPERS & MORE: http://bit.ly/PokemonEXTRAS WATCH EN ...",2011-04-22 19:24:00,2011-04-22,69840,"none","UCY30JRSgfhYXA6i6xX1erWg","Smosh",53693960,397051,11706,0,40844,43,"en","Shows",53000
"25","LfoGBVM86PM","POKEMON IN REAL LIFE 2!","MORE POKEMON VIDEOS: https://youtu.be/4BO2HgT2p4M?list=PL2C924BB1F9863B0A WATCH THE BLOOPERS & MORE: http://bit.ly/Poke2Bloops WATCH ...",2011-06-17 19:30:32,2011-06-17,70200,"none","UCY30JRSgfhYXA6i6xX1erWg","Smosh",38894604,270627,5635,0,47892,43,NA,"Shows",38000
"26","UtsfUAHkyWQ","Ping Pong Trick Shots 2 | Dude Perfect","Ping Pong Trick Shots are back & they're BIGGER than ever! ---------------------------------------- <U+25BB> VISIT our NEW STORE! - http://dudeperfect.merchline.com <U+25BB>Click ...",2015-02-16 23:00:56,2015-02-16,82800,"none","UCRijo3ddMTht_IHyNSNXpNQ","Dude Perfect",118319569,1164671,34159,0,58912,17,NA,"Esportes",118000
"27","f9jhWFKV3u0","Nerf Blasters Edition | Dude Perfect","Trick Shots: Nerf style. ---------------------------------------- <U+25BB> GRAB our NERF TOYS! - https://www.amazon.com/shop/dudeperfect <U+25BB> VISIT our NEW STORE!",2013-08-05 13:26:29,2013-08-05,48360,"none","UCRijo3ddMTht_IHyNSNXpNQ","Dude Perfect",83931280,429696,17663,0,39710,17,NA,"Esportes",83000
"28","UeG1ftTmLAg","Ping Pong Trick Shots 3 | Dude Perfect","We take Ping Pong Trick Shots to the next level! Sponsored advertising by Oreo Cookies. Some of our biggest videos ever are coming out soon so stay tuned so ...",2017-04-03 21:57:27,2017-04-03,79020,"none","UCRijo3ddMTht_IHyNSNXpNQ","Dude Perfect",81754045,2848146,56150,0,422431,17,NA,"Esportes",81000
