"","X","id","titulo","descricao","publicadoEm","data","hora","aoVivo","idCanal","nomeCanal","visualizacoes","curtidas","descurtidas","favoritos","comentarios","categoryId","defaultAudioLanguage","categoria","faturamento"
"91",91,"cNvjKkXFBvU","WEKEED - Wild Child","The wild union of a girl and a boy brought together by life. Just like other couples make love, they make music. <U+2728> Subscribe to our Newsletter and get 10 fresh ...","2012-05-17 21:08:30","2012-05-17",76080,"none","UCXIyz409s7bNWVcM-vjfdVA","Majestic Casual",46843977,214661,4685,0,4760,24,NA,"Entretenimento",46000
"96",96,"2qrwwrYzGyw","TOP 7 - YOUTUBER OHNE MAKEUP !! <f0><U+009F><U+0098><U+00AF><f0><U+009F><U+0098><U+00B1>","Letztes Video: https://youtu.be/s0K4J1GZo4Q <U+25BB>Snapchat: RealSimonDesue <U+25BB>Instagram: http://instagram.com/simondesue <U+25BB>Twitter: ...","2016-07-10 13:00:00","2016-07-10",46800,"none","UCrDAFagvWYuScZMzqs-OslA","Simon Desue",5540372,156523,22752,0,10752,24,NA,"Entretenimento",5000
"101",101,"QJO3ROT-A4E","One Direction - What Makes You Beautiful","One Direction's official music video for What Makes You Beautiful. As featured on Up All Night, listen on Spotify http://smarturl.it/UpAllNightSP Click to buy the ...","2011-08-19 15:00:00","2011-08-19",54000,"none","UCbW18JZRgko_mOGm5er8Yzg","OneDirectionVEVO",886243723,4360431,364568,0,899796,10,NA,"Música",886000
"106",106,"lp-EO5I60KA","Ed Sheeran - Thinking Out Loud [Official Video]","The official video for 'Thinking Out Loud', Ed learnt to dance! 'x', available to buy via iTunes here: http://smarturl.it/x-itunesdlx Featuring and taught by ...","2014-10-07 13:57:37","2014-10-07",50220,"none","UC0C-w0YjGpqDXGB8IHb662A","Ed Sheeran",1834685664,7167940,297641,0,228258,10,NA,"Música",1834000
"111",111,"708mjaHTwKc","KSI - Lamborghini (Explicit) ft. P Money","Stream for Free on Spotify: http://t.co/dWuBx0BZl8 / iTunes: http://bit.ly/KSILambo 'Keep Up' CDs & T-shirts available here: http://po.st/KeepUpStore 'Keep Up' ...","2015-03-25 17:08:37","2015-03-25",61680,"none","UCVtFOytbRpEvzLjvqGG5gxQ","KSI",83476217,1606221,111161,0,128313,10,NA,"Música",83000
"116",116,"GG90TQUd7Ac","BEST OF THEDIAMONDMINECART // DANTDM!!","Subscribe and join TeamTDM! :: http://bit.ly/TxtGm8 <U+25BB> Previous Video :: https://youtu.be/sKK5iwCKK5M <U+25BB> Follow Me on Twitter ...","2015-10-03 18:30:42","2015-10-03",66600,"none","UCS5Oz6CHmeoF7vSad0qqXfw","DanTDM",40619935,156462,5927,0,24210,20,NA,"Jogos",40000
"121",121,"YQHsXMglC9A","Adele - Hello","'Hello' is taken from the new album, 25, out November 20. http://adele.com Available now from iTunes http://smarturl.it/itunes25 Available now from Amazon ...","2015-10-23 06:54:18","2015-10-23",24840,"none","UComP_epzeKzvBX156r6pm1Q","AdeleVEVO",2074105953,12313208,671048,0,846170,10,"en-US","Música",2074000
"126",126,"bM7SZ5SBzyY","Alan Walker - Fade [NCS Release]","Listen on Spotify: http://spoti.fi/NCS House Music Playlist: http://ncs.io/house Please give a warm welcome to Alan Walker who makes his debut on NCS. His gift ...","2014-11-19 17:02:54","2014-11-19",61320,"none","UC_aEa8K-EOJ3D6gOs7HcyNg","NoCopyrightSounds",279624369,2794115,52507,0,205054,10,"en-US","Música",279000
"131",131,"jHbyQ_AQP8c","What If Everyone JUMPED At Once?","Follow Michael Stevens http://www.twitter.com/tweetsauce Tell Geek and Sundry that Vsauce says ""hi!"" and SUB!","2012-08-19 03:28:52","2012-08-19",12480,"none","UC6nSFpj9HTCZ5t-N3Rm3-HA","Vsauce",26013976,283007,8846,0,43319,28,"en","Ciência e Tecnologia",26000
"136",136,"b0vPzYhxy9c","7 Second Challenge With Miranda Sings | Zoella","The 7 Second Challenge with Miranda Sings Miranda's Video: http://bit.ly/1lEPecx Subscribe to Miranda: http://bit.ly/1kfQANT Subscribe to Colleen: ...","2014-04-06 20:19:23","2014-04-06",73140,"none","UCWRV5AVOlKJR1Flvgt310Cw","Zoella",22021240,524843,13242,0,30344,26,NA,"Estilo de Vida",22000
"141",141,"-ibLmPuojmw","SIDEMEN CROSSBAR CHALLENGE!!","A YOUTUBERS CROSSBAR CHALLENGE WATCH THE GAME HERE: https://www.youtube.com/sidemen Thanks to http://www.mylocalpitch.com Music Used: ...","2016-03-06 21:00:00","2016-03-06",75600,"none","UCjtLOfx1yt1NlnFIDyAX3Ug","W2S",38889680,412659,7035,0,32975,20,NA,"Jogos",38000
"146",146,"IrJkyFeJ2Fc","One Rich Mother F*cker! - Grand Theft Auto 5","Click Here To Subscribe <U+25BB> http://bit.ly/SubToSyn Thanks for watching! Don't forget to leave a Rating on the video! Enjoyed the video? Then be sure to Share it ...","2013-10-16 17:00:02","2013-10-16",61200,"none","UC1ieoHqKW-yYgDhLHIcx28w","TheSyndicateProject",25774688,122015,15437,0,19559,20,NA,"Jogos",25000
"151",151,"uO59tfQ2TbA","David Guetta - Hey Mama (Official Video) ft Nicki Minaj, Bebe Rexha & Afrojack","Download the album #Listen and the single Hey Mama on iTunes http://smarturl.it/guettalistendeluxe Download the remixes on iTunes: ...","2015-05-19 19:41:51","2015-05-19",70860,"none","UC1l7wYrva1qCH-wgqcHaaRg","David Guetta",1147096297,3768020,217506,0,120894,10,NA,"Música",1147000
"156",156,"dKwzZZKIbUs","Cyprien r<e9>pond <e0> Cortex","Ma r<e9>ponse au clash de Cortex, partagez cette vid<e9>o pour en finir avec lui ! Rejoignez ma page facebook : http://www.facebook.com/CyprienVideo Toutes mes ...","2011-10-01 13:56:11","2011-10-01",50160,"none","UCyWqModMQlbIo8274Wh_ZsQ","Cyprien",42507750,835359,12554,0,154232,23,"fr","Comédia",42000
"161",161,"GP7aP67qQjQ","NORMAN - LUIGI CLASH MARIO","Bonus: http://www.normanfaitdesvideos.com/2014/01/31/bonus-luigi-clash-mario/ MP3: ...","2014-01-31 16:27:37","2014-01-31",59220,"none","UCww2zZWg4Cf5xcRKG-ThmXQ","NORMAN FAIT DES VID<c9>OS",66014011,685619,21327,0,46687,23,NA,"Comédia",66000
"166",166,"_ZPpU7774DQ","OVERWATCH RAP BATTLE","Vid<e9>o sponsoris<e9>e par Blizzard et inspir<e9>e de l'univers Overwatch. Musique par NODEY & PV Nova Le jeu : http://blizz.ly/2oR28iG Un immense merci aux ...","2017-04-07 15:31:14","2017-04-07",55860,"none","UCWeg2Pkate69NFdBeuRFTAw","SQUEEZIE",22985120,540776,23651,0,58052,10,"fr","Música",22000
"171",171,"81szj1vpEu8","KANGAROO (REMI GAILLARD)","Dangerously funny videos created and produced by R<e9>mi GAILLARD. http://www.facebook.com/gaillardremi http://twitter.com/nqtv.","2008-09-21 21:33:21","2008-09-21",77580,"none","UCmPSwsooZq8an7xOLQQhAdw","R<e9>mi GAILLARD",78022668,357735,14988,0,31910,23,NA,"Comédia",78000
